url,name,price_bdt,category,image_url,processor,generation,ram,storage,graphics_memory,gpu,display_inch,color,processor,camera_front,camera_rear,battery_mah,network,display_type,processor,storage,os
https://www.ryans.com/chuwi-herobook-pro-intel-cdc-n4020-14.1-inch-fhd-display-grey-laptop,CHUWI HeroBook Pro Intel CDC N4020 8GB RAM 25,28500,laptop,https://www.ryans.com/storage/products/small/chuwi-herobook-pro-intel-cdc-n4020-8gb-ram-256gb-11703585504.webp,Intel Celeron,Celeron Series,8GB,256GB SSD,Shared,Intel UHD Graphics 600,14,Gray,,,,,,,,,
https://www.ryans.com/chuwi-gemibook-xpro-intel-core-n100-14.1-inch-fhd-display-grey-laptop,CHUWI GemiBook XPro Intel Core N100 8GB RAM 2,34900,laptop,https://www.ryans.com/storage/products/small/chuwi-gemibook-xpro-intel-core-n100-8gb-ram-256gb-11703580649.webp,Core N100,12th Standard (Intel),8GB,256GB SSD,Shared,Intel UHD Graphics,14,Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-1i-15igl7-intel-cdc-n4020-8gb-ram-laptop,Lenovo IdeaPad Slim 1 15IGL7 Intel CDC N4020,36300,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-1i-15igl7-intel-cdc-n4020-8gb-11737897705.webp,Intel Celeron,Celeron Series,8GB,256GB SSD,Shared,Intel UHD Graphics 600,15.6,Cloud Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-45-intel-cdc-n4500-8gb-ram-laptop,Acer Aspire 3 A325-45 Intel CDC N4500 8GB RAM,37900,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-45-intel-cdc-n4500-8gb-ram-11764240526.webp,Intel Celeron,Celeron Series,8GB,512GB,Shared,Intel UHD Graphics,15.6,Pure Silver,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-1-14igl7-intel-cdc-n4020-laptop,Lenovo IdeaPad Slim 1 14IGL7 Intel CDC N4020,38300,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-1-14igl7-intel-cdc-n4020-8gb-21759669852.webp,Intel Celeron,Celeron Series,8GB,512GB SSD,Shared,Intel UHD Graphics 600,14,Cloud Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-1-14ijl7-intel-cdc-n4500-laptop,Lenovo IdeaPad 1 14IJL7 Intel CDC N4500 8GB R,38800,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-1-14ijl7-intel-cdc-n4500-8gb-ram-41762340740.webp,Intel Celeron,Celeron Series,8GB,512GB SSD,Shared,Intel UHD Graphics,14,Cloud Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-45-intel-cdc-n4500-12gb-ram-laptop,Acer Aspire 3 A325-45 Intel CDC N4500 12GB RA,40800,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-45-intel-cdc-n4500-12gb-ram-11772508654.webp,Intel Celeron,Celeron Series,12GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Pure Silver,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop,Lenovo IdeaPad 1 15AMN7 AMD Athlon Silver 712,41500,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-11712138797.webp,AMD Athlon,Athlon Series,8GB,256GB SSD,Shared,AMD Radeon 610M Graphics,15.6,Cloud Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-lite-al15-31-intel-core-n100-8gb-ram-laptop,Acer Aspire Lite AL15-31 Intel Core N100 8GB,42900,laptop,https://www.ryans.com/storage/products/small/acer-aspire-lite-al15-31-intel-core-n100-8gb-ram-11764240881.webp,Core N100,12th Standard (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Steel Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a324-31-intel-core-n100-8gb-ram-steel-gray-laptop,Acer Aspire 3 A324-31 Intel Core N100 8GB RAM,46000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a324-31-intel-core-n100-8gb-ram-61774673301.webp,Core N100,12th Standard (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,14,Steel Gray,,,,,,,,,
https://www.ryans.com/hp-15-fc0355au-amd-athlon-silver-7120u-laptop,HP 15-fc0355AU AMD Athlon Silver 7120U 8GB RA,50000,laptop,https://www.ryans.com/storage/products/small/hp-15-fc0355au-amd-athlon-silver-7120u-8gb-ram-11769667354.webp,AMD Athlon,,8GB,512GB SSD,Shared,AMD Radeon 610M Graphics,15.6,Natural Silver,,,,,,,,,
https://www.ryans.com/hp-15-fc0621au-amd-athlon-silver-7120u-laptop,HP 15-fc0621AU AMD Athlon Silver 7120U 8GB RA,50000,laptop,https://www.ryans.com/storage/products/small/hp-15-fc0621au-amd-athlon-silver-7120u-8gb-ram-11773910322.webp,AMD Athlon,Athlon Series,8GB,512GB SSD,Shared,AMD Radeon 610M Graphics,15.6,Natural Silver,,,,,,,,,
