p_name,release_date,specs,price_bdt,category,source
Tecno Spark 40,2026,Tecno Spark 40 | Review: ,17990,smartphone,Dazzle
Xiaomi Poco M5,2026,Xiaomi Poco M5 | Review: ,12992,smartphone,Dazzle
Samsung Galaxy A17 5G,2026,Samsung Galaxy A17 5G | Review: 🔥 Hot Product,23490,smartphone,Dazzle
iQOO Z10 Turbo Plus,2026,iQOO Z10 Turbo Plus | Review: 🔥 Hot Product,44990,smartphone,Dazzle
iQOO Z10R,2026,iQOO Z10R | Review: ,26490,smartphone,Dazzle
Oppo Find X9 Pro,2026,Oppo Find X9 Pro | Review: ,99989,smartphone,Dazzle
iPhone Air,2026,iPhone Air | Review: 🔥 Hot Product,114444,smartphone,Dazzle
Motorola Moto G85 5G,2026,Motorola Moto G85 5G | Review: 🛍️ Top Selling,23990,smartphone,Dazzle
Motorola Moto G45 5G,2026,Motorola Moto G45 5G | Review: 😍 Customers Choice,15990,smartphone,Dazzle
Samsung Galaxy A17,2026,Samsung Galaxy A17 | Review: 🔥 Hot Product,22490,smartphone,Dazzle
Samsung Galaxy A57 5G,2026,Samsung Galaxy A57 5G | Review: 🔥 Hot Product,59790,smartphone,Dazzle
Samsung M07,2026,Samsung M07 | Review: 🔥 Hot Product,13690,smartphone,Dazzle
iPhone 17e,2026,iPhone 17e | Review: 🔥 Hot Product,77990,smartphone,Dazzle
vivo X300 Pro,2026,vivo X300 Pro | Review: ,95489,smartphone,Dazzle
Vivo X300,2026,Vivo X300 | Review: ,78989,smartphone,Dazzle
Oppo Find X9,2026,Oppo Find X9 | Review: ,79989,smartphone,Dazzle
vivo iQOO 15,2026,vivo iQOO 15 | Review: ,76989,smartphone,Dazzle
vivo iQOO Neo11,2026,vivo iQOO Neo11 | Review: ,55989,smartphone,Dazzle
Samsung Galaxy S26 Ultra 5G,2026,Samsung Galaxy S26 Ultra 5G | Review: 🔥 Hot Product,130990,smartphone,Dazzle
Vivo T4 Pro,2026,Vivo T4 Pro | Review: ,43990,smartphone,Dazzle
